date,rainfall,average flow,max flow,min flow,fe flow
10/11/2020,1.19,15.53,40.58,2.37,13.58
10/11/2021,0,9.27,13.7,5.93,8.6
10/11/2022,0,9.1,12.71,5.97,8.32
10/11/2023,1,13.44,30.22,6.16,12.51
10/11/2024,,,,,
10/12/2015,0.03,9.4,14.14,7.41,8.37
10/12/2016,0.04,10.77,14.08,0.02,10.19
10/12/2017,0.12,9.56,11.28,6.79,8.79
10/12/2018,0,8.47,10.54,0.45,7.32
10/12/2019,0.02,9.47,17.77,2,8.78
10/12/2020,0,13.16,16.46,4.07,11.32
10/12/2021,0.18,9.45,14.61,2.52,8.82
10/12/2022,0,9.94,20.31,2.26,7.71
10/12/2023,0,10.35,13.24,2.94,9.57
10/12/2024,,,,,
10/13/2015,0,8.89,10.15,6,7.95
10/13/2016,1.86,18.56,47.8,3.8,15.44
10/13/2017,0.05,9.23,11.15,5.57,8.44
10/13/2018,0,8.52,10.05,3.81,7.26
10/13/2019,0,8.76,14.74,3.45,7.99
10/13/2020,0.8,14.97,30.26,7.96,11.93
10/13/2021,0.02,9.05,11.98,5.69,8.51
10/13/2022,0,8.21,13.65,2.64,6.89
10/13/2023,0.11,10.31,15.38,3.82,9.61
10/13/2024,,,,,
10/14/2015,0,8.78,14.64,7.91,7.85
10/14/2016,3.04,25.76,60,7.39,23.02
10/14/2017,0,8.62,10.82,4.02,8.15
10/14/2018,0,8.68,11.02,4.31,7.55
10/14/2019,0,8.76,12.3,3.72,7.86
10/14/2020,0,11.46,15.12,5.76,10.01
10/14/2021,0.08,9.18,11.96,5.25,8.55
10/14/2022,0,8.97,13.88,2.91,7.5
10/14/2023,0.07,9.82,16.86,4.6,9.14
10/14/2024,,,,,
10/15/2015,0,8.79,10.66,7.91,8.08
10/15/2016,1.01,19.74,42.03,7.64,19.02
10/15/2017,0,10.07,15.27,4.19,8.32
10/15/2018,0,9.12,11.28,4.87,8.1
10/15/2019,0,9.35,55.76,2.25,6.88
10/15/2020,0,11.19,15.8,4,9.4
10/15/2021,0.02,8.99,10.68,5.33,8.35
10/15/2022,0,9.1,15.67,1.62,8.13
10/15/2023,0.01,11.07,14.89,5.26,10.51
10/15/2024,,,,,
10/16/2015,0,8.36,9.37,7.42,7.74
10/16/2016,0.83,16.81,30.27,7.54,15.86
10/16/2017,0,10.51,18.88,4.95,8.39
10/16/2018,0,8.79,15.03,4.09,7.9
10/16/2019,0.52,16.03,58.8,1.58,8.85
10/16/2020,0.03,10.85,13.03,5.67,9.22
10/16/2021,0,9.01,11.67,4.11,8.52
10/16/2022,0,10.45,14.29,5.51,9.81
10/16/2023,0.56,11.55,21.14,4.3,10.76
10/16/2024,,,,,
10/17/2015,0.02,8.25,11.12,6.87,7.64
10/17/2016,0.5,15.21,27.25,6.66,13.29
10/17/2017,0.11,11.42,16.06,2.02,9.26
10/17/2018,0,8.65,10.37,6.16,7.74
10/17/2019,0.57,11.92,63.48,3.82,9.89
10/17/2020,0,10,12.92,5.1,8.66
10/17/2021,0.04,9.29,16.53,4.38,8.7
10/17/2022,0,9.34,24.99,1.81,7.83
10/17/2023,0.08,10.5,13.18,2.53,8.09
10/17/2024,,,,,
10/18/2015,0.06,8.28,10.17,4.37,7.68
10/18/2016,0.2,13.59,29.4,0,12.38
10/18/2017,1.68,15.32,47.86,2.68,12.36
10/18/2018,0,8.68,24.08,6.22,7.68
10/18/2019,1.4,15.25,46.22,0,13.23
10/18/2020,0.2,10.88,14.99,6.5,9.53
10/18/2021,0,10.03,14.75,2.83,9.29
10/18/2022,0,10,13,6,9.08
10/18/2023,0,10.03,13.12,3.45,8.87
10/18/2024,,,,,
10/19/2015,0.17,8.89,10.66,3.82,8.07
10/19/2016,0.41,14.12,25.31,10.58,12.66
10/19/2017,0.91,16.02,30,10.42,14.82
10/19/2018,0,9.84,10.35,6.62,7.78
10/19/2019,1.16,16.68,34.19,9.49,15.9
10/19/2020,0,10.29,13.31,5.16,8.85
10/19/2021,0.01,8.02,12.08,0,7.47
10/19/2022,0,10.43,23.52,2.18,9.15
10/19/2023,0,10.15,12.05,2.83,8.76
10/19/2024,,,,,
10/2/2015,0.03,8.74,9.97,7.48,7.7
10/2/2016,0.1,9.13,12.52,7.83,8.54
10/2/2017,0,9.87,13.84,3.78,8.63
10/2/2018,0.11,7.91,11.06,3.23,7.25
10/2/2019,0,9.66,14.3,3.31,8.94
10/2/2020,0.01,8.68,12.94,3.89,8.05
10/2/2021,0,8.92,11.72,4.9,8.42
10/2/2022,0,9.44,11.92,5.12,8.3
10/2/2023,0.23,9.99,12.59,5.3,9.22
10/2/2024,0,9.88,16.01,4.91,8.46
10/20/2015,0.03,8.5,9.6,6.82,7.79
10/20/2016,1.34,20.59,45.92,9.82,19.06
10/20/2017,0.22,11.66,29.56,5.16,10.15
10/20/2018,0,9.21,11.42,4.69,7.48
10/20/2019,0.09,10.49,16.65,5.04,9.93
10/20/2020,0,9.75,11.94,0.19,8.43
10/20/2021,0.21,9.57,20.07,6.37,9.02
10/20/2022,0,10.3,12.83,7.3,9.33
10/20/2023,0,10.06,12.57,2.85,8.71
10/20/2024,,,,,
10/21/2015,0,8.69,12,7.91,8.04
10/21/2016,0.29,14.42,29.98,9.89,13.27
10/21/2017,2.54,22.71,60,6.12,19.93
10/21/2018,0,9.41,10.82,4.64,7.75
10/21/2019,0.63,11.66,22.67,4.33,10.73
10/21/2020,0.14,10,14.55,5.13,8.83
10/21/2021,0.73,11.41,26.11,4.03,10.56
10/21/2022,0.51,12.54,19.29,4.15,11.67
10/21/2023,0.02,10.01,17.6,5.12,8.58
10/21/2024,,,,,
10/22/2015,0,8.67,9.79,7.9,7.77
10/22/2016,0.09,12.33,16.99,6.74,11.49
10/22/2017,0.31,14.36,24.74,9,14.62
10/22/2018,0.01,9.61,11.02,4.77,8.08
10/22/2019,0.17,10.82,21.79,2.57,10.33
10/22/2020,0,9.49,18.34,0.17,8.24
10/22/2021,0.14,10.09,20.28,2.46,9.55
10/22/2022,0.02,10.08,15.24,5.11,9.3
10/22/2023,0,10.48,15.38,5.02,8.89
10/22/2024,,,,,
10/23/2015,0,8.14,8.6,7.31,7.26
10/23/2016,0.01,12.09,16.47,6.76,11.29
10/23/2017,0.01,11.87,17.94,9.18,11.31
10/23/2018,0.03,9.2,11.01,7,7.93
10/23/2019,0,10.88,17.33,2.29,9.1
10/23/2020,0.1,9.32,11.8,2.34,8.47
10/23/2021,0.19,9.69,18.25,4.67,9.08
10/23/2022,0,11.46,16.17,3.79,10.63
10/23/2023,0,9.93,13.04,3.35,8.74
10/23/2024,,,,,
10/24/2015,0.01,7.77,8.61,5.49,6.93
10/24/2016,0.04,11.73,18.33,3.79,10.79
10/24/2017,0,10.66,18.24,4.56,9.72
10/24/2018,0.02,9.11,20.4,4.9,7.89
10/24/2019,0,11.11,13.72,4.12,8.86
10/24/2020,0,9.05,11.75,5.02,8.5
10/24/2021,0.21,11,14.77,6.56,10.24
10/24/2022,0.11,10.28,15.54,5.11,9.23
10/24/2023,0.6,11.97,27.92,1.65,11.15
10/24/2024,,,,,
10/25/2015,0.27,9.46,13.66,7.42,8.64
10/25/2016,0.02,10.99,11.71,9.87,10.32
10/25/2017,0,10.39,12.14,6.91,9.56
10/25/2018,0.45,10.89,27.91,4.61,9.45
10/25/2019,0,10.14,17.92,4.43,8.58
10/25/2020,0,9.05,11.54,4.75,8.48
10/25/2021,0.77,12.89,24.35,1.55,12.09
10/25/2022,0.85,14.44,27.81,7.34,13.48
10/25/2023,0.56,10.68,21.72,5.42,11.24
10/25/2024,,,,,
10/26/2015,0.38,10.72,17.03,6.25,9.57
